Symbol;Name;MarketCap;IPOyear;Sector;industry
EWZS;iShares MSCI Brazil Small-Cap ETF;$57.48M;n/a;n/a;n/a
MCHI;iShares MSCI China ETF;$2.68B;n/a;n/a;n/a
ESGD;iShares MSCI EAFE ESG Optimized ETF;$123.46M;n/a;n/a;n/a
SCZ;iShares MSCI EAFE Small-Cap ETF;$8.81B;n/a;n/a;n/a
ESGE;iShares MSCI EM ESG Optimized ETF;$74.93M;n/a;n/a;n/a
EEMA;iShares MSCI Emerging Markets Asia Index Fund;$489.42M;n/a;n/a;n/a
EMXC;iShares MSCI Emerging Markets ex China ETF;$10.16M;n/a;n/a;n/a
EUFN;iShares MSCI Europe Financials Sector Index Fund;$1.65B;n/a;n/a;n/a
IEUS;iShares MSCI Europe Small-Cap ETF;$163.05M;n/a;n/a;n/a
RING;iShares MSCI Global Gold Miners ETF;$366.73M;n/a;n/a;n/a
MPCT;iShares MSCI Global Impact ETF;$24.96M;n/a;n/a;n/a
ENZL;iShares MSCI New Zealand Capped ETF;$180.46M;n/a;n/a;n/a
QAT;iShares MSCI Qatar Capped ETF;$51.71M;n/a;n/a;n/a
TUR;iShares MSCI Turkey ETF;$420.56M;n/a;n/a;n/a
UAE;iShares MSCI UAE Capped ETF;$50.32M;n/a;n/a;n/a
ESGU;iShares MSCI USA ESG Optimized ETF;$5.4M;n/a;n/a;n/a
IBB;iShares Nasdaq Biotechnology Index Fund;$9.44B;n/a;n/a;n/a
SOXX;iShares PHLX SOX Semiconductor Sector Index Fund;$1.1B;n/a;n/a;n/a
EMIF;iShares S&P Emerging Markets Infrastructure Index Fund;$50.54M;n/a;n/a;n/a
ICLN;iShares S&P Global Clean Energy Index Fund;$98.28M;n/a;n/a;n/a
WOOD;iShares S&P Global Timber & Forestry Index Fund;$266.55M;n/a;n/a;n/a
INDY;iShares S&P India Nifty 50 Index Fund;$1.18B;n/a;n/a;n/a
IJT;iShares S&P Small-Cap 600 Growth ETF;$4.41B;n/a;n/a;n/a
DVY;iShares Select Dividend ETF;$17.01B;n/a;n/a;n/a
SHV;iShares Short Treasury Bond ETF;$5.67B;n/a;n/a;n/a
CRED;iShares U.S. Credit Bond ETF;$1.49B;n/a;n/a;n/a
PFF;iShares U.S. Preferred Stock ETF;$18.64B;n/a;n/a;n/a
ISRL;Isramco, Inc.;$310.36M;1983;Energy;Oil & Gas Production
ITI;Iteris, Inc.;$221.45M;n/a;Consumer Durables;Telecommunications Equipment
ITRI;Itron, Inc.;$2.78B;1993;Capital Goods;Electrical Products
ITRN;Ituran Location and Control Ltd.;$720.7M;2005;Consumer Non-Durables;Electronic Components
ITUS;ITUS Corporation;$11.57M;n/a;Miscellaneous;Multi-Sector Companies
IVENC;Ivy NextShares;n/a;n/a;n/a;n/a
IVFGC;Ivy NextShares;n/a;n/a;n/a;n/a
IVFVC;Ivy NextShares;n/a;n/a;n/a;n/a
IXYS;IXYS Corporation;$506.85M;n/a;Technology;Semiconductors
IZEA;IZEA Inc.;$10.05M;n/a;Consumer Services;Advertising
JJSF;J & J Snack Foods Corp.;$2.39B;1986;Consumer Non-Durables;Specialty Foods
MAYS;J. W. Mays, Inc.;$75.59M;n/a;Consumer Services;Building operators
JBHT;J.B. Hunt Transport Services, Inc.;$9.91B;n/a;Transportation;Trucking Freight/Courier Services
JCOM;j2 Global, Inc.;$3.75B;1999;Technology;Telecommunications Equipment
JASO;JA Solar Holdings, Co., Ltd.;$290.66M;2007;Technology;Semiconductors
JKHY;Jack Henry & Associates, Inc.;$8.23B;1985;Technology;EDP Services
JACK;Jack In The Box Inc.;$2.74B;n/a;Consumer Services;Restaurants
JXSB;Jacksonville Bancorp Inc.;$53.76M;n/a;Finance;Savings Institutions
JAGX;Jaguar Animal Health, Inc.;$10.31M;2015;Health Care;Major Pharmaceuticals
JAKK;JAKKS Pacific, Inc.;$91.38M;1996;Consumer Non-Durables;Recreational Products/Toys
JMBA;Jamba, Inc.;$133.83M;n/a;Consumer Services;Restaurants
JRVR;James River Group Holdings, Ltd.;$1.18B;2014;Finance;Property-Casualty Insurers
SGQI;Janus Henderson SG Global Quality Income ETF;n/a;n/a;n/a;n/a
JSML;Janus Henderson Small Cap Growth Alpha ETF;$6.85M;n/a;n/a;n/a
JSMD;Janus Henderson Small/Mid Cap Growth Alpha ETF;$12.2M;n/a;n/a;n/a
JASN;Jason Industries, Inc.;$30.06M;2013;Consumer Durables;Miscellaneous manufacturing industries
JASNW;Jason Industries, Inc.;n/a;2013;Consumer Durables;Miscellaneous manufacturing industries
JAZZ;Jazz Pharmaceuticals plc;$9.35B;2007;Health Care;Major Pharmaceuticals
JD;JD.com, Inc.;$65.86B;2014;Consumer Services;Other Specialty Stores
JSYN;Jensyn Acquistion Corp.;$52.78M;2016;Finance;Business Services
JSYNR;Jensyn Acquistion Corp.;n/a;2016;Finance;Business Services
JSYNU;Jensyn Acquistion Corp.;n/a;2016;Finance;Business Services
JSYNW;Jensyn Acquistion Corp.;n/a;2016;Finance;Business Services
JBLU;JetBlue Airways Corporation;$7.38B;2002;Transportation;Air Freight/Delivery Services
JTPY;JetPay Corporation;$33.52M;2011;Finance;Business Services
JCTCF;Jewett-Cameron Trading Company;$30.88M;n/a;Consumer Services;RETAIL: Building Materials
WYIG;JM Global Holding Company;$65.49M;2015;Finance;Business Services
WYIGU;JM Global Holding Company;$66.87M;2015;Finance;Business Services
WYIGW;JM Global Holding Company;n/a;2015;Finance;Business Services
JMU;JMU Limited;$170.52M;2015;Technology;EDP Services
JBSS;John B. Sanfilippo & Son, Inc.;$710.49M;1991;Consumer Non-Durables;Specialty Foods
JOUT;Johnson Outdoors Inc.;$549.21M;n/a;Consumer Non-Durables;Recreational Products/Toys
JNCE;Jounce Therapeutics, Inc.;$401.49M;2017;Health Care;Biotechnology: Biological Products (No Diagnostic Substances)
JNP;Juniper Pharmaceuticals, Inc.;$52.05M;n/a;Health Care;Major Pharmaceuticals
JUNO;Juno Therapeutics, Inc.;$3.17B;2014;Health Care;Biotechnology: Biological Products (No Diagnostic Substances)
KTWO;K2M Group Holdings, Inc.;$994.58M;2014;Health Care;Medical/Dental Instruments
KALU;Kaiser Aluminum Corporation;$1.64B;n/a;Capital Goods;Metal Fabrications
KALA;Kala Pharmaceuticals, Inc.;$466.83M;2017;Health Care;Major Pharmaceuticals
KALV;KalVista Pharmaceuticals, Inc.;$70.42M;2015;Health Care;Major Pharmaceuticals
KMDA;Kamada Ltd.;$163.9M;2013;Health Care;Major Pharmaceuticals
KNDI;Kandi Technologies Group, Inc.;$189.69M;n/a;Capital Goods;Auto Manufacturing
KPTI;Karyopharm Therapeutics Inc.;$391.55M;2013;Health Care;Major Pharmaceuticals
KAAC;Kayne Anderson Acquisition Corp.;$457.5M;2017;Finance;Business Services
KAACU;Kayne Anderson Acquisition Corp.;n/a;2017;Finance;Business Services
KAACW;Kayne Anderson Acquisition Corp.;n/a;2017;Finance;Business Services
KBLM;KBL Merger Corp. IV;n/a;2017;Finance;Business Services
KBLMR;KBL Merger Corp. IV;n/a;2017;Finance;Business Services
KBLMU;KBL Merger Corp. IV;n/a;2017;Finance;Business Services
KBLMW;KBL Merger Corp. IV;n/a;2017;Finance;Business Services
KBSF;KBS Fashion Group Limited;$4.45M;2013;Consumer Non-Durables;Apparel
KCAP;KCAP Financial, Inc.;$125.45M;2006;n/a;n/a
KRNY;Kearny Financial;$1.22B;n/a;Finance;Savings Institutions
KELYA;Kelly Services, Inc.;$855.35M;n/a;Technology;Professional Services
KELYB;Kelly Services, Inc.;$880.62M;n/a;Technology;Professional Services
KMPH;KemPharm, Inc.;$48.34M;2015;Health Care;Major Pharmaceuticals
KFFB;Kentucky First Federal Bancorp;$80.34M;n/a;Finance;Savings Institutions
KERX;Keryx Biopharmaceuticals, Inc.;$827.69M;n/a;Health Care;Major Pharmaceuticals
KEQU;Kewaunee Scientific Corporation;$69.45M;n/a;Capital Goods;Medical Specialities
KTEC;Key Technology, Inc.;$93.73M;1993;Technology;Industrial Machinery/Components
KTCC;Key Tronic Corporation;$76.82M;1983;Technology;Computer peripheral equipment
KFRC;Kforce, Inc.;$488.76M;1995;Technology;Professional Services
KE;Kimball Electronics, Inc.;$512.7M;n/a;Technology;Electrical Products
KBAL;Kimball International, Inc.;$605.99M;n/a;Consumer Durables;Home Furnishings
KIN;Kindred Biosciences, Inc.;$167.84M;2013;Health Care;Major Pharmaceuticals
KGJI;Kingold Jewelry Inc.;$108.93M;n/a;Miscellaneous;Business Services
KINS;Kingstone Companies, Inc;$168.36M;n/a;Finance;Property-Casualty Insurers
KONE;Kingtone Wirelessinfo Solution Holding Ltd;$5.38M;2010;Technology;EDP Services
KNSL;Kinsale Capital Group, Inc.;$863.28M;2016;Finance;Property-Casualty Insurers
KIRK;Kirkland&#39;;;;
KITE;Kite Pharma, Inc.;$6.37B;2014;Health Care;Biotechnology: Biological Products (No Diagnostic Substances)
KTOV;Kitov Pharmaceuticals Holdings Ltd.;$16.04M;2015;Health Care;Major Pharmaceuticals
KTOVW;Kitov Pharmaceuticals Holdings Ltd.;n/a;2015;Health Care;Major Pharmaceuticals
KLAC;KLA-Tencor Corporation;$13.93B;1980;Capital Goods;Electronic Components
KLXI;KLX Inc.;$2.7B;n/a;Capital Goods;Aerospace
KONA;Kona Grill, Inc.;$15.15M;2005;Consumer Services;Restaurants
KOPN;Kopin Corporation;$261.68M;1992;Technology;Semiconductors
KRNT;Kornit Digital Ltd.;$662.23M;2015;Capital Goods;Industrial Machinery/Components
KOSS;Koss Corporation;$12.99M;n/a;Consumer Non-Durables;Consumer Electronics/Appliances
KWEB;KraneShares CSI China Internet ETF;$184.45M;n/a;n/a;n/a
KTOS;Kratos Defense & Security Solutions, Inc.;$963.35M;n/a;Capital Goods;Military/Government/Technical
KLIC;Kulicke and Soffa Industries, Inc.;$1.38B;n/a;Technology;Semiconductors
KURA;Kura Oncology, Inc.;$221.54M;n/a;Health Care;Major Pharmaceuticals
KVHI;KVH Industries, Inc.;$189.82M;1996;Technology;Radio And Television Broadcasting And Communications Equipment
FSTR;L.B. Foster Company;$193.72M;n/a;Basic Industries;Metal Fabrications
LJPC;La Jolla Pharmaceutical Company;$696.45M;1994;Health Care;Biotechnology: Biological Products (No Diagnostic Substances)
LSBK;Lake Shore Bancorp, Inc.;$96.27M;n/a;Finance;Savings Institutions
LBAI;Lakeland Bancorp, Inc.;$909.17M;n/a;Finance;Major Banks
LKFN;Lakeland Financial Corporation;$1.16B;n/a;Finance;Major Banks
LAKE;Lakeland Industries, Inc.;$111.87M;1986;Health Care;Industrial Specialties
LRCX;Lam Research Corporation;$24.27B;1984;Technology;Industrial Machinery/Components
LAMR;Lamar Advertising Company;$6.71B;1996;Consumer Services;Real Estate Investment Trusts
LANC;Lancaster Colony Corporation;$3.37B;n/a;Consumer Non-Durables;Packaged Foods
LCA;Landcadia Holdings, Inc.;$313.44M;2016;Finance;Business Services
LCAHU;Landcadia Holdings, Inc.;n/a;2016;Finance;Business Services
LCAHW;Landcadia Holdings, Inc.;n/a;2016;Finance;Business Services
LNDC;Landec Corporation;$342.68M;1996;Basic Industries;Major Chemicals
LARK;Landmark Bancorp Inc.;$113.43M;n/a;Finance;Major Banks
LMRK;Landmark Infrastructure Partners LP;$388.71M;2014;Consumer Services;Real Estate
LMRKO;Landmark Infrastructure Partners LP;n/a;n/a;Consumer Services;Real Estate
LMRKP;Landmark Infrastructure Partners LP;n/a;n/a;Consumer Services;Real Estate
LE;Lands&#39;;;;
LSTR;Landstar System, Inc.;$3.53B;1993;Transportation;Trucking Freight/Courier Services
LNTH;Lantheus Holdings, Inc.;$641.82M;2015;Health Care;Biotechnology: In Vitro & In Vivo Diagnostic Substances
LTRX;Lantronix, Inc.;$38.69M;2000;Technology;Computer Communications Equipment
LSCC;Lattice Semiconductor Corporation;$810.06M;n/a;Technology;Semiconductors
LAUR;Laureate Education, Inc.;$2.91B;2017;Consumer Services;Other Consumer Services
LAWS;Lawson Products, Inc.;$197.45M;n/a;Consumer Durables;Industrial Specialties
LAYN;Layne Christensen Company;$207.69M;1992;Basic Industries;Engineering & Construction
LCNB;LCNB Corporation;$198.78M;n/a;Finance;Major Banks
LBIX;Leading Brands Inc;$3.62M;n/a;Consumer Non-Durables;Beverages (Production/Distribution)
LPTX;LEAP THERAPEUTICS, INC.;$58.42M;n/a;Health Care;Biotechnology: Biological Products (No Diagnostic Substances)
LGCY;Legacy Reserves LP;$105.3M;2007;Energy;Oil & Gas Production
LGCYO;Legacy Reserves LP;$45.5M;n/a;Energy;Oil & Gas Production
LGCYP;Legacy Reserves LP;$13M;n/a;Energy;Oil & Gas Production
LTXB;LegacyTexas Financial Group, Inc.;$1.88B;n/a;Finance;Savings Institutions
DDBI;Legg Mason Developed EX-US Diversified Core ETF;$5.75M;n/a;n/a;n/a
EDBI;Legg Mason Emerging Markets Diversified Core ETF;n/a;n/a;n/a;n/a
INFR;Legg Mason Global Infrastructure ETF;n/a;n/a;n/a;n/a
LVHD;Legg Mason Low Volatility High Dividend ETF;n/a;n/a;n/a;n/a
SQLV;Legg Mason Small-Cap Quality Value ETF;n/a;n/a;n/a;n/a
UDBI;Legg Mason US Diversified Core ETF;$3.11M;n/a;n/a;n/a
LMAT;LeMaitre Vascular, Inc.;$623.72M;2006;Health Care;Medical/Dental Instruments
TREE;LendingTree, Inc.;$2.75B;n/a;Finance;Finance: Consumer Services
LXRX;Lexicon Pharmaceuticals, Inc.;$1.66B;n/a;Health Care;Major Pharmaceuticals
LGIH;LGI Homes, Inc.;$1.02B;2013;Capital Goods;Homebuilding
LHCG;LHC Group;$1.11B;2005;Health Care;Medical/Nursing Services
LLIT;Lianluo Smart Limited;$25.62M;n/a;Health Care;Medical/Dental Instruments
LBRDA;Liberty Broadband Corporation;$17.83B;n/a;Consumer Services;Television Services
LBRDK;Liberty Broadband Corporation;$18.04B;n/a;Consumer Services;Television Services
LEXEA;Liberty Expedia Holdings, Inc.;$3.18B;n/a;Consumer Services;Other Consumer Services
LEXEB;Liberty Expedia Holdings, Inc.;$3.24B;n/a;Consumer Services;Other Consumer Services
LBTYA;Liberty Global plc;$29.67B;n/a;Consumer Services;Television Services
LBTYB;Liberty Global plc;$29.28B;n/a;Consumer Services;Television Services
LBTYK;Liberty Global plc;$28.51B;n/a;Consumer Services;Television Services
LILA;Liberty Global plc;$4.54B;n/a;Consumer Services;Television Services
LILAK;Liberty Global plc;$4.44B;n/a;Consumer Services;Television Services
LVNTA;Liberty Interactive Corporation;$5.08B;n/a;Consumer Services;Catalog/Specialty Distribution
LVNTB;Liberty Interactive Corporation;$4.82B;n/a;Consumer Services;Catalog/Specialty Distribution
QVCA;Liberty Interactive Corporation;$10.97B;n/a;Consumer Services;Catalog/Specialty Distribution
QVCB;Liberty Interactive Corporation;$10.77B;n/a;Consumer Services;Catalog/Specialty Distribution
BATRA;Liberty Media Corporation;n/a;n/a;Consumer Services;Broadcasting
BATRK;Liberty Media Corporation;$1.58B;n/a;Consumer Services;Broadcasting
FWONA;Liberty Media Corporation;n/a;n/a;Consumer Services;Broadcasting
FWONK;Liberty Media Corporation;$7.56B;n/a;Consumer Services;Broadcasting
LSXMA;Liberty Media Corporation;n/a;n/a;Consumer Services;Broadcasting
LSXMB;Liberty Media Corporation;n/a;n/a;Consumer Services;Broadcasting
LSXMK;Liberty Media Corporation;$15.3B;n/a;Consumer Services;Broadcasting
TAX;Liberty Tax, Inc.;$176.92M;n/a;Miscellaneous;Multi-Sector Companies
LTRPA;Liberty TripAdvisor Holdings, Inc.;$873.79M;n/a;Technology;EDP Services
LTRPB;Liberty TripAdvisor Holdings, Inc.;$903.79M;n/a;Technology;EDP Services
LPNT;LifePoint Health, Inc.;$2.34B;n/a;Health Care;Hospital/Nursing Management
LCUT;Lifetime Brands, Inc.;$275.48M;1991;Capital Goods;Industrial Machinery/Components
LFVN;Lifevantage Corporation;$54.08M;n/a;Health Care;Major Pharmaceuticals
LWAY;Lifeway Foods, Inc.;$141.35M;n/a;Consumer Non-Durables;Packaged Foods
LGND;Ligand Pharmaceuticals Incorporated;$2.56B;n/a;Health Care;Major Pharmaceuticals
LTBR;Lightbridge Corporation;$10.9M;n/a;Consumer Services;Professional Services
LPTH;LightPath Technologies, Inc.;$63.67M;1996;Technology;Semiconductors
LLEX;Lilis Energy, Inc.;$195.63M;n/a;Energy;Oil & Gas Production
LMB;Limbach Holdings, Inc.;$90.2M;n/a;Basic Industries;Engineering & Construction
LLNW;Limelight Networks, Inc.;$386.74M;2007;Miscellaneous;Business Services
LMNR;Limoneira Co;$318.93M;n/a;Consumer Non-Durables;Farming/Seeds/Milling
LINC;Lincoln Educational Services Corporation;$82.07M;2005;Consumer Services;Other Consumer Services
LECO;Lincoln Electric Holdings, Inc.;$5.79B;n/a;Technology;Industrial Machinery/Components
LIND;Lindblad Expeditions Holdings Inc. ;$459.1M;2013;Consumer Services;Transportation Services
LINDW;Lindblad Expeditions Holdings Inc. ;n/a;2013;Consumer Services;Transportation Services
LINU;LiNiu Technology Group;$14.99M;n/a;Consumer Services;Services-Misc. Amusement & Recreation
LPCN;Lipocine Inc.;$85.16M;n/a;Health Care;Major Pharmaceuticals
LQDT;Liquidity Services, Inc.;$192.06M;2006;Miscellaneous;Business Services
LFUS;Littelfuse, Inc.;$4.14B;n/a;Consumer Durables;Electrical Products
LIVN;LivaNova PLC;$2.91B;n/a;Health Care;Biotechnology: Electromedical & Electrotherapeutic Apparatus
LOB;Live Oak Bancshares, Inc.;$848.68M;2015;Finance;Major Banks
LIVE;Live Ventures Incorporated;$23.79M;n/a;Technology;EDP Services
LPSN;LivePerson, Inc.;$768.65M;2000;Technology;Computer Software: Prepackaged Software
LKQ;LKQ Corporation;$10.55B;n/a;Consumer Services;Motor Vehicles
LMFA;LM Funding America, Inc.;$13.55M;2015;Finance;Finance: Consumer Services
LMFAW;LM Funding America, Inc.;n/a;2015;Finance;Finance: Consumer Services
LOGI;Logitech International S.A.;$5.86B;1997;Technology;Computer peripheral equipment
LOGM;LogMein, Inc.;$5.94B;2009;Technology;Computer Software: Prepackaged Software
EVAR;Lombard Medical, Inc.;$13.42M;2014;Health Care;Medical/Dental Instruments
CNCR;Loncar Cancer Immunotherapy ETF;n/a;n/a;n/a;n/a
LONE;Lonestar Resources US Inc.;$84.46M;n/a;Energy;Oil & Gas Production
LTEA;Long Island Iced Tea Corp.;$39.3M;n/a;Consumer Non-Durables;Beverages (Production/Distribution)
LORL;Loral Space and Communications, Inc.;$1.45B;n/a;Technology;Radio And Television Broadcasting And Communications Equipment
LOXO;Loxo Oncology, Inc.;$1.91B;2014;Health Care;Major Pharmaceuticals
LPLA;LPL Financial Holdings Inc.;$4.15B;2010;Finance;Investment Bankers/Brokers/Service
LRAD;LRAD Corporation;$50.24M;n/a;Consumer Non-Durables;Consumer Electronics/Appliances
LYTS;LSI Industries Inc.;$161.29M;1985;Consumer Durables;Building Products
LULU;lululemon athletica inc.;$8.44B;2007;Consumer Non-Durables;Apparel
LITE;Lumentum Holdings Inc.;$3.6B;n/a;Consumer Durables;Telecommunications Equipment
LMNX;Luminex Corporation;$880.72M;2000;Health Care;Medical/Dental Instruments
LMOS;Lumos Networks Corp.;$429.08M;n/a;Public Utilities;Telecommunications Equipment
LUNA;Luna Innovations Incorporated;$32.47M;2006;Health Care;Biotechnology: Commercial Physical & Biological Resarch
MBTF;M B T Financial Corp;$219.55M;n/a;Finance;Major Banks
MACQ;M I Acquisitions, Inc.;$71.01M;2016;Finance;Business Services
MACQU;M I Acquisitions, Inc.;n/a;2016;n/a;n/a
MACQW;M I Acquisitions, Inc.;n/a;2016;Finance;Business Services
MIII;M III Acquisition Corp.;$189.6M;2016;Finance;Business Services
MIIIU;M III Acquisition Corp.;n/a;2016;Finance;Business Services
MIIIW;M III Acquisition Corp.;n/a;2016;Finance;Business Services
MBVX;MabVax Therapeutics Holdings, Inc.;$6.55M;n/a;Health Care;Major Pharmaceuticals
MCBC;Macatawa Bank Corporation;$324.11M;n/a;Finance;Major Banks
MFNC;Mackinac Financial Corporation;$90.93M;n/a;Finance;Major Banks
MTSI;MACOM Technology Solutions Holdings, Inc.;$2.69B;2012;Technology;Semiconductors
MGNX;MacroGenics, Inc.;$624.03M;2013;Health Care;Major Pharmaceuticals
MDGL;Madrigal Pharmaceuticals, Inc.;$199.56M;n/a;Health Care;Major Pharmaceuticals
MAGS;Magal Security Systems Ltd.;$115.22M;1993;Consumer Durables;Telecommunications Equipment
MGLN;Magellan Health, Inc.;$1.78B;n/a;Health Care;Hospital/Nursing Management
MGIC;Magic Software Enterprises Ltd.;$351.44M;1991;Technology;Computer Software: Prepackaged Software
CALL;magicJack VocalTec Ltd;$123.14M;n/a;Public Utilities;Telecommunications Equipment
MNGA;MagneGas Corporation;$4.16M;n/a;Technology;Industrial Machinery/Components
MGYR;Magyar Bancorp, Inc.;$74.45M;n/a;Finance;Savings Institutions
MHLD;Maiden Holdings, Ltd.;$960.74M;n/a;Finance;Property-Casualty Insurers
MSFG;MainSource Financial Group, Inc.;$903.58M;n/a;Finance;Major Banks
MMYT;MakeMyTrip Limited;$3.04B;2010;Consumer Services;Transportation Services
MBUU;Malibu Boats, Inc.;$486.09M;2014;Capital Goods;Marine Transportation
MLVF;Malvern Bancorp, Inc.;$164.97M;n/a;Finance;Banks
MAMS;MAM Software Group, Inc.;$80.36M;n/a;Technology;Computer Software: Prepackaged Software
TUSK;Mammoth Energy Services, Inc.;$583.4M;2016;Energy;Oilfield Services/Equipment
MANH;Manhattan Associates, Inc.;$3.01B;1998;Technology;Computer Software: Prepackaged Software
LOAN;Manhattan Bridge Capital, Inc;$43.75M;n/a;Consumer Services;Real Estate Investment Trusts
MNTX;Manitex International, Inc.;$133.91M;n/a;Technology;Industrial Machinery/Components
MTEX;Mannatech, Incorporated;$42.49M;n/a;Consumer Durables;Specialty Chemicals
MNKD;MannKind Corporation;$123.23M;2004;Health Care;Major Pharmaceuticals
MANT;ManTech International Corporation;$1.62B;2002;Consumer Services;Other Consumer Services
MAPI;Mapi - Pharma Ltd.;n/a;n/a;n/a;n/a
MARA;Marathon Patent Group, Inc.;$6.27M;n/a;Miscellaneous;Multi-Sector Companies
MCHX;Marchex, Inc.;$130.45M;2004;Miscellaneous;Business Services
MARPS;Marine Petroleum Trust;$6.8M;n/a;Energy;Oil & Gas Production
MRNS;Marinus Pharmaceuticals, Inc.;$47.51M;2014;Health Care;Major Pharmaceuticals
MKTX;MarketAxess Holdings, Inc.;$7.73B;2004;Finance;Investment Bankers/Brokers/Service
MRLN;Marlin Business Services Corp.;$317.52M;2003;Finance;Major Banks
MAR;Marriott International;$39.79B;n/a;Consumer Services;Hotels/Resorts
MBII;Marrone Bio Innovations, Inc.;$37.62M;2013;Basic Industries;Agricultural Chemicals
MRTN;Marten Transport, Ltd.;$890.75M;1986;Transportation;Trucking Freight/Courier Services
MMLP;Martin Midstream Partners L.P.;$699.83M;2002;Energy;Oil Refining/Marketing
MRVL;Marvell Technology Group Ltd.;$7.82B;2000;Technology;Semiconductors
MASI;Masimo Corporation;$4.39B;2007;Health Care;Biotechnology: Electromedical & Electrotherapeutic Apparatus
MTCH;Match Group, Inc.;$4.86B;2015;Technology;Computer Software: Programming, Data Processing
MTLS;Materialise NV;$644.1M;2014;Technology;Computer Software: Prepackaged Software
MPAC;Matlin & Partners Acquisition Corporation;$394.88M;2017;Finance;Business Services
MPACU;Matlin & Partners Acquisition Corporation;n/a;2017;Finance;Business Services
MPACW;Matlin & Partners Acquisition Corporation;n/a;2017;Finance;Business Services
MTRX;Matrix Service Company;$295.62M;1990;Basic Industries;Engineering & Construction
MAT;Mattel, Inc.;$6.51B;n/a;Consumer Non-Durables;Recreational Products/Toys
MATR;Mattersight Corporation;$94.79M;n/a;Technology;EDP Services
MATW;Matthews International Corporation;$2.12B;1994;Capital Goods;Metal Fabrications
MXIM;Maxim Integrated Products, Inc.;$12.63B;1988;Technology;Semiconductors
MXPT;MaxPoint Interactive, Inc.;$45.44M;n/a;Consumer Services;Advertising
MXWL;Maxwell Technologies, Inc.;$210.97M;n/a;Miscellaneous;Industrial Machinery/Components
MZOR;Mazor Robotics Ltd.;$881.78M;n/a;Health Care;Medical/Dental Instruments
MBFI;MB Financial Inc.;$3.47B;n/a;Finance;Major Banks
MBFIP;MB Financial Inc.;$102.88M;n/a;Finance;Major Banks
MCFT;MCBC Holdings, Inc.;$339.97M;2015;Capital Goods;Marine Transportation
MGRC;McGrath RentCorp;$990.68M;1984;Technology;Diversified Commercial Services
MDCA;MDC Partners Inc.;$481.87M;n/a;Technology;Advertising
MFIN;Medallion Financial Corp.;$58.27M;n/a;Finance;Finance: Consumer Services
MFINL;Medallion Financial Corp.;n/a;n/a;Finance;Finance: Consumer Services
MTBC;Medical Transcription Billing, Corp.;$19.3M;2014;Technology;Computer Software: Prepackaged Software
MTBCP;Medical Transcription Billing, Corp.;$7.37M;n/a;Technology;Computer Software: Prepackaged Software
MNOV;MediciNova, Inc.;$173.59M;n/a;Health Care;Major Pharmaceuticals
MDSO;Medidata Solutions, Inc.;$4.55B;2009;Technology;Computer Software: Prepackaged Software
MDGS;Medigus Ltd.;$4.14M;n/a;Health Care;Medical/Dental Instruments
MDWD;MediWound Ltd.;$149.13M;2014;Consumer Durables;Specialty Chemicals
MDVX;Medovex Corp.;$18.41M;2015;Health Care;Medical/Dental Instruments
MDVXW;Medovex Corp.;n/a;2015;Health Care;Medical/Dental Instruments
MEDP;Medpace Holdings, Inc.;$1.25B;2016;Health Care;Biotechnology: Commercial Physical & Biological Resarch
MEIP;MEI Pharma, Inc.;$107.74M;n/a;Health Care;Major Pharmaceuticals
MLCO;Melco Resorts & Entertainment Limited;$9.96B;n/a;Consumer Services;Hotels/Resorts
MLNX;Mellanox Technologies, Ltd.;$2.25B;2007;Technology;Semiconductors
MELR;Melrose Bancorp, Inc.;$45.81M;2014;Finance;Major Banks
MTSL;MER Telemanagement Solutions Ltd.;$5.6M;1997;Public Utilities;Telecommunications Equipment
MELI;MercadoLibre, Inc.;$11.5B;2007;Miscellaneous;Business Services
MBWM;Mercantile Bank Corporation;$528.56M;1998;Finance;Major Banks
MERC;Mercer International Inc.;$705.44M;n/a;Basic Industries;Paper
MRCY;Mercury Systems Inc;$2.12B;1998;Capital Goods;Electrical Products
EBSB;Meridian Bancorp, Inc.;$952.29M;n/a;Finance;Major Banks
VIVO;Meridian Bioscience Inc.;$578.18M;1986;Health Care;Biotechnology: In Vitro & In Vivo Diagnostic Substances
MRDN;Meridian Waste Solutions, Inc;$12.52M;n/a;Basic Industries;Miscellaneous
MRDNW;Meridian Waste Solutions, Inc;n/a;n/a;Basic Industries;Miscellaneous
MMSI;Merit Medical Systems, Inc.;$2.06B;n/a;Health Care;Medical/Dental Instruments
MACK;Merrimack Pharmaceuticals, Inc.;$169.91M;2012;Health Care;Major Pharmaceuticals
MRSN;Mersana Therapeutics, Inc.;$339.91M;2017;Health Care;Major Pharmaceuticals
MRUS;Merus N.V.;$310.28M;2016;Health Care;Major Pharmaceuticals
MLAB;Mesa Laboratories, Inc.;$531.96M;n/a;Capital Goods;Industrial Machinery/Components
MESO;Mesoblast Limited;$561.83M;2015;Health Care;Biotechnology: Biological Products (No Diagnostic Substances)
CASH;Meta Financial Group, Inc.;$698.91M;1993;Finance;Savings Institutions
MEOH;Methanex Corporation;$3.97B;n/a;Basic Industries;Major Chemicals
MGCD;MGC Diagnostics Corporation;$36.13M;n/a;Health Care;Medical/Dental Instruments
MGEE;MGE Energy Inc.;$2.27B;n/a;Energy;Electric Utilities: Central
MGPI;MGP Ingredients, Inc.;$976.36M;n/a;Consumer Non-Durables;Beverages (Production/Distribution)
